"Map ID","Name","Address","Category","Estimated walking time","Approximate miles","Budget","Suggested visit","Description","Planning notes","Source","Walking directions","Latitude","Longitude","Coordinate source"
"50","Aiken-Rhett House","48 Elizabeth Street, Charleston SC","Sights & museums","14–19 min","0.71","Ticketed","60–90 min","Preserved house, work spaces and enslaved people's quarters; a substantial architectural and social-history visit.","Published Tue–Sun admission 10–4, with visitors allowed to remain until 5. Compare the Nathaniel Russell combination ticket.","https://www.historiccharleston.org/house-museums","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Aiken-Rhett%20House%2C%2048%20Elizabeth%20Street%2C%20Charleston%20SC&travelmode=walking","32.791454612234","-79.935019011953","US Census address interpolation"
"51","International African American Museum","14 Wharfside Street, Charleston SC","Sights & museums","11–16 min","0.56","Ticketed","2–3 hours","A major museum on Gadsden's Wharf exploring African American history and connections across the African diaspora. Give this time rather than fitting it into a quick photo stop.","Book timed entry. Detailed visitor page: Tue–Sat 10–5; Sunday noon–5 from July 2026, last entry 4. Its header differs, so follow the booking calendar.","https://iaamuseum.org/plan-your-visit/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=International%20African%20American%20Museum%2C%2014%20Wharfside%20Street%2C%20Charleston%20SC&travelmode=walking","32.787607199802","-79.925842019213","US Census address interpolation"
"52","South Carolina Aquarium","100 Aquarium Wharf, Charleston SC","Sights & museums","18–24 min","0.91","Ticketed; date-priced","2–3 hours","South Carolina wildlife, marine habitats and sea turtle recovery exhibits. A strong option with children or in wet weather.","Check date-specific tickets and last entry; plan earlier in the day rather than close to closing.","https://scaquarium.org/plan-your-visit/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=South%20Carolina%20Aquarium%2C%20100%20Aquarium%20Wharf%2C%20Charleston%20SC&travelmode=walking","32.791073499999996","-79.9254923","OpenStreetMap aquarium building bounds; approximate center"
"53","Liberty Square / Fort Sumter Visitor Center","340 Concord Street, Charleston SC","Sights & museums","13–18 min","0.66","Visitor center free; boat extra","30–60 min; fort trip about 2.5–3 hr","Harborfront history stop and a departure area for Fort Sumter trips. The visitor center is walkable; the fort itself is on an island.","For a fort visit, book a separate ferry and confirm a downtown Liberty Square departure, not Patriots Point across the harbor.","https://www.nps.gov/fosu/learn/bookstore.htm","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Liberty%20Square%20%2F%20Fort%20Sumter%20Visitor%20Center%2C%20340%20Concord%20Street%2C%20Charleston%20SC&travelmode=walking","32.78937945177","-79.926808340611","US Census address interpolation"
"54","Waterfront Park / Pineapple Fountain","1 Vendue Range, Charleston SC","Parks & walks","15–21 min","0.77","Free","30–60 min","Harbor views, the famous Pineapple Fountain and a pleasant place to sit between sightseeing stops.","Map pin marks the Vendue Range approach, not the fountain's exact position. Continue south through the park to the fountain.","https://www.charlestoncvb.com/plan-your-trip/tours-attractions~204/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Waterfront%20Park%20%2F%20Pineapple%20Fountain%2C%201%20Vendue%20Range%2C%20Charleston%20SC&travelmode=walking","32.778890937453","-79.925625651139","US Census address interpolation"
"55","Rainbow Row","83 East Bay Street, Charleston SC","Parks & walks","18–24 min","0.91","Free exterior","15–30 min","The colorful historic houses along East Bay; best as part of a longer waterfront-to-Battery walk.","The pin marks the row's southern area; the houses extend along the block. They are private homes, viewed from the sidewalk.","https://www.charlestoncvb.com/plan-your-trip/tours-attractions~204/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Rainbow%20Row%2C%2083%20East%20Bay%20Street%2C%20Charleston%20SC&travelmode=walking","32.775402390062","-79.927232147501","US Census address interpolation"
"56","Old Slave Mart Museum","6 Chalmers Street, Charleston SC","Sights & museums","13–19 min","0.69","Ticketed","45–75 min","A focused and sobering account of Charleston's domestic slave trade at a former auction site.","Plan a weekday or Saturday; verify operating hours. This is a separate site from the City Market.","https://www.charlestonsmuseummile.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Old%20Slave%20Mart%20Museum%2C%206%20Chalmers%20Street%2C%20Charleston%20SC&travelmode=walking","32.777762759713","-79.928280235842","US Census address interpolation"
"57","Old Exchange & Provost Dungeon","122 East Bay Street, Charleston SC","Sights & museums","16–22 min","0.81","Ticketed","45–75 min","Colonial and Revolutionary history in a prominent historic building, including the dungeon tour.","Published adults $16; Mon–Sat 9–5, Sunday 11–5. Recheck current ticket details before visiting.","https://www.oldexchange.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Old%20Exchange%20%26%20Provost%20Dungeon%2C%20122%20East%20Bay%20Street%2C%20Charleston%20SC&travelmode=walking","32.7768855525","-79.926931648185","US Census address interpolation"
"58","The Powder Magazine","79 Cumberland Street, Charleston SC","Sights & museums","8–13 min","0.44","Ticketed","30–45 min","A compact colonial-history museum in a surviving early gunpowder store. Easy to fit between the market and Church Street.","Current site advertises Mon–Sat 10–5; do not rely on Sunday access.","https://www.powdermagazinemuseum.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Powder%20Magazine%2C%2079%20Cumberland%20Street%2C%20Charleston%20SC&travelmode=walking","32.779499606022","-79.930489833683","US Census address interpolation"
"59","St. Philip's Church","142 Church Street, Charleston SC","Sights & museums","11–16 min","0.59","Exterior free","15–30 min","A distinctive church and streetscape in the French Quarter; combine with the Dock Street Theatre and Chalmers Street.","Check posted access for the church and churchyard. Services, weddings and preservation work can limit entry.","https://www.stphilipschurchsc.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=St.%20Philip's%20Church%2C%20142%20Church%20Street%2C%20Charleston%20SC&travelmode=walking","32.778377848524","-79.929283674598","US Census address interpolation"
"60","St. Michael's Church","71 Broad Street, Charleston SC","Sights & museums","12–17 min","0.61","Exterior free","15–30 min","Historic church at Broad and Meeting, a useful landmark on a South of Broad walk.","Exterior viewing is straightforward; verify visitor hours before expecting interior access.","https://www.stmichaelschurch.net/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=St.%20Michael's%20Church%2C%2071%20Broad%20Street%2C%20Charleston%20SC&travelmode=walking","32.776448583201","-79.930585998581","US Census address interpolation"
"61","Circular Congregational Church","150 Meeting Street, Charleston SC","Sights & museums","8–13 min","0.42","Exterior free; events extra","20–40 min","A distinctive church and historic burial ground along the main museum corridor.","Observe posted churchyard hours and check the calendar for concerts; cemetery access is not assumed after dark.","https://www.circularchurch.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Circular%20Congregational%20Church%2C%20150%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.778870717314","-79.93123802173","US Census address interpolation"
"62","Washington Square","80 Broad Street, Charleston SC","Parks & walks","11–17 min","0.6","Free","15–25 min","A small green pause behind City Hall, convenient between Meeting Street museums and South of Broad.","Combine with the Four Corners of Law at Broad and Meeting; monuments are best understood with their historical context.","https://www.charlestonsmuseummile.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Washington%20Square%2C%2080%20Broad%20Street%2C%20Charleston%20SC&travelmode=walking","32.776537477804","-79.930863172186","US Census address interpolation"
"63","Nathaniel Russell House","51 Meeting Street, Charleston SC","Sights & museums","14–20 min","0.75","Ticketed","60–75 min","A restored historic house with a notable staircase, interiors and interpretation of the enslaved people who supported the household.","Published Tue–Sun admission 10–4, stay until 5. Combine admission with Aiken-Rhett if you want contrasting house-museum experiences.","https://www.historiccharleston.org/house-museums","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Nathaniel%20Russell%20House%2C%2051%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.77416817682","-79.930785088618","US Census address interpolation"
"64","Heyward-Washington House","87 Church Street, Charleston SC","Sights & museums","15–21 min","0.78","Ticketed","45–75 min","Revolutionary-era house, Charleston furniture and surviving work buildings; convenient on the way toward the Battery.","Compare the Charleston Museum's combination ticket and verify tour departures.","https://www.charlestonmuseum.org/historic-houses/heyward-washington-house/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Heyward-Washington%20House%2C%2087%20Church%20Street%2C%20Charleston%20SC&travelmode=walking","32.775360103313","-79.929180557599","US Census address interpolation"
"65","Edmondston-Alston House","21 East Battery, Charleston SC","Sights & museums","20–27 min","1.04","Ticketed","45–60 min","A house museum on the harbor side of the Battery, useful when you want an interior visit during your southern walking loop.","Check current tour times and opening days; historic stairs may matter for accessibility.","https://www.edmondstonalston.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Edmondston-Alston%20House%2C%2021%20East%20Battery%2C%20Charleston%20SC&travelmode=walking","32.771752740497","-79.92797857752","US Census address interpolation"
"66","The Battery / East Battery promenade","1 East Battery, Charleston SC","Parks & walks","22–29 min","1.12","Free","25–45 min","Harbor-edge walking past large historic houses. This is the classic southern extension of a Rainbow Row walk.","Map pin marks the southern end. Waterfront construction or weather may alter access; follow posted detours.","https://www.charlestoncvb.com/plan-your-trip/tours-attractions~204/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Battery%20%2F%20East%20Battery%20promenade%2C%201%20East%20Battery%2C%20Charleston%20SC&travelmode=walking","32.770120075633","-79.928646346661","US Census address interpolation"
"67","White Point Garden","2 Murray Boulevard, Charleston SC","Parks & walks","20–27 min","1.04","Free","20–45 min","Oaks, benches and monuments at the peninsula's southern tip. A natural rest stop before returning north.","Combine with East Battery; bring water because this residential end has fewer immediate café options.","https://www.charleston-sc.gov/362/Reservations-Rentals","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=White%20Point%20Garden%2C%202%20Murray%20Boulevard%2C%20Charleston%20SC&travelmode=walking","32.769605294245","-79.931920238436","US Census address interpolation"
"68","Colonial Lake","46 Ashley Avenue, Charleston SC","Parks & walks","19–26 min","0.98","Free","30–60 min","A landscaped tidal lake with a perimeter path, west of the main tourist corridor. A good quieter walk or morning exercise option.","Pin marks an Ashley Avenue approach. Add time to circle the lake after reaching it.","https://www.charlestonparksconservancy.org/parks/colonial-lake/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Colonial%20Lake%2C%2046%20Ashley%20Avenue%2C%20Charleston%20SC&travelmode=walking","32.775361301967","-79.9410794401","US Census address interpolation"
"69","Cathedral of St. John the Baptist","120 Broad Street, Charleston SC","Sights & museums","13–18 min","0.66","Exterior free","20–35 min","A Gothic Revival cathedral that pairs naturally with a westward Broad Street or Colonial Lake walk.","Check interior visitor access and service times; be respectful of worship in progress.","https://charlestoncathedral.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Cathedral%20of%20St.%20John%20the%20Baptist%2C%20120%20Broad%20Street%2C%20Charleston%20SC&travelmode=walking","32.776183728712","-79.934591748211","US Census address interpolation"
"70","Charleston City Gallery","34 Prioleau Street, Charleston SC","Sights & museums","16–21 min","0.8","Check current admission","30–60 min","A gallery beside Waterfront Park, useful for adding contemporary art to a harbor stroll.","Exhibitions and opening days vary; confirm the current city listing before making it your main destination.","https://www.charleston-sc.gov/3427/Visitors","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Charleston%20City%20Gallery%2C%2034%20Prioleau%20Street%2C%20Charleston%20SC&travelmode=walking","32.777956018659","-79.926044971026","US Census address interpolation"
"71","Buxton Books","160 King Street, Charleston SC","Shopping","8–13 min","0.45","Free to browse","20–45 min","Independent bookstore with local literary connections and events; well placed on lower King.","Check author-event dates and any associated tour departures separately.","https://bookshop.org/shop/buxtonbooks","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Buxton%20Books%2C%20160%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.778149057655","-79.932868306546","US Census address interpolation"
"72","Blue Bicycle Books","420 King Street, Charleston SC","Shopping","9–13 min","0.46","Free to browse","20–45 min","Used, rare and local books close to Marion Square and Halls.","Published Mon–Sat 10–7:30, Sunday 1–6. Not an early Sunday-morning stop.","https://bluebicyclebooks.com/contact/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Blue%20Bicycle%20Books%2C%20420%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.78775174685","-79.937490478718","US Census address interpolation"
"73","Croghan's Jewel Box","155 King Street, Charleston SC","Shopping","9–13 min","0.45","Free to browse","20–40 min","Long-running family jeweler with estate pieces and Charleston-themed gifts.","Current official About page lists 155 King, despite older guides showing 308 King; use the newer address.","https://www.croghansjewelbox.com/pages/about","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Croghan's%20Jewel%20Box%2C%20155%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.778087056502","-79.932998409457","US Census address interpolation"
"74","Candlefish","270 King Street, Charleston SC","Shopping","2–6 min","0.14","Browse free; workshop extra","20–40 min; workshop 90 min","Candles, fragrance browsing and candle-making workshops, very convenient to your lodging.","Book workshops; the venue says finished candles are collected the next day. Avoid a last-day class unless pickup/shipping is arranged.","https://www.candlefish.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Candlefish%2C%20270%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.782404410819","-79.933941454294","US Census address interpolation"
"75","Preservation Society Shop","147 King Street, Charleston SC","Shopping","9–14 min","0.47","Free to browse","20–40 min","A useful stop for Charleston-related books and gifts; also connected with the society organizing the October Fall Tours.","The shop is not automatically the meeting point for a booked tour; follow the confirmation email.","https://www.preservationsociety.org/fall-tours/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Preservation%20Society%20Shop%2C%20147%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.777809301639","-79.932965787565","US Census address interpolation"
"76","The Shops at The Charleston Place","205 Meeting Street, Charleston SC","Shopping","4–8 min","0.25","Free to browse","30–75 min","A cluster of higher-end retailers in and around a central hotel, useful for a short shopping break.","Use the current hotel directory; individual stores and access can change during renovations.","https://charlestonplace.com/the-hotel/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Shops%20at%20The%20Charleston%20Place%2C%20205%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.781334287491","-79.931678384771","US Census address interpolation"
"77","Dock Street Theatre / Charleston Stage","135 Church Street, Charleston SC","Entertainment","11–16 min","0.59","Ticketed performances","Allow 2–3 hours","A historic theater in the French Quarter and home to Charleston Stage performances.","Broadway Bound runs Oct. 14–Nov. 1, 2026; Miss Nelson Is Missing! has an Oct. 31 family performance. Book the actual date/time and check content guidance; not every day in a production run has a performance.","https://charlestonstage.com/shows-and-tickets/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Dock%20Street%20Theatre%20%2F%20Charleston%20Stage%2C%20135%20Church%20Street%2C%20Charleston%20SC&travelmode=walking","32.778255730576","-79.929410348658","US Census address interpolation"
"78","Theatre 99","280 Meeting Street, Charleston SC","Entertainment","2–5 min","0.1","Ticketed","90–120 min","Improv comedy very close to Society Street; convenient if you want an evening activity without a long walk home.","Check the calendar and age guidance. Entrance is at the back, upstairs; a platform lift is available with staff assistance before the show.","https://theatre99.com/contact/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Theatre%2099%2C%20280%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.784486275406","-79.932683848932","US Census address interpolation"
"79","Charleston Gaillard Center","95 Calhoun Street, Charleston SC","Entertainment","8–13 min","0.43","Ticketed","2–3 hours","Major performing-arts venue close to your lodging. Your dates include orchestral, author and piano events.","See the date-specific events section below and buy only for a time you can attend.","https://gaillardcenter.org/buy-tickets/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Charleston%20Gaillard%20Center%2C%2095%20Calhoun%20Street%2C%20Charleston%20SC&travelmode=walking","32.787863339491","-79.931472806895","US Census address interpolation"
"80","Charleston Music Hall","37 John Street, Charleston SC","Entertainment","9–14 min","0.48","Ticketed","2–3 hours","A downtown venue for music, comedy and other performances, near restaurants on Upper King.","Check the live event calendar; the venue's presence does not guarantee a show on every night of your stay.","https://www.charlestonmusichall.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Charleston%20Music%20Hall%2C%2037%20John%20Street%2C%20Charleston%20SC&travelmode=walking","32.78896777074","-79.935981816273","US Census address interpolation"
"81","Music Farm","32 Ann Street, Charleston SC","Entertainment","12–17 min","0.62","Ticketed","2–4 hours","A live-music venue near the visitor center, useful for an evening on the northern side of downtown.","Check each show's age restriction and standing/seating format. Under-18 guests must attend with an adult under current venue policy.","https://musicfarm.com/faq/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Music%20Farm%2C%2032%20Ann%20Street%2C%20Charleston%20SC&travelmode=walking","32.789843500492","-79.937548659728","US Census address interpolation"
"82","Children's Museum of the Lowcountry","25 Ann Street, Charleston SC","Entertainment","11–17 min","0.59","Ticketed","90–150 min","Hands-on play and learning for families with younger children, near the Charleston Museum and visitor center.","Published Mon–Sat 10–5, Sunday noon–5. Check age suitability and current exhibits; mornings before 10 are member access.","https://explorecml.org/visit/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Children's%20Museum%20of%20the%20Lowcountry%2C%2025%20Ann%20Street%2C%20Charleston%20SC&travelmode=walking","32.789941510155","-79.937057242114","US Census address interpolation"
"83","Bulldog Tours — downtown office","18 Anson Street, Charleston SC","Entertainment","7–11 min","0.36","Ticketed tours","Typically 1–2 hours","A starting point for choosing ghost, history or food walks; a natural Halloween-period activity.","Office pin is not a guaranteed tour departure point. Book the specific tour and use its confirmation address; some offerings are across the harbor.","https://www.bulldogtours.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Bulldog%20Tours%20%E2%80%94%20downtown%20office%2C%2018%20Anson%20Street%2C%20Charleston%20SC&travelmode=walking","32.782109544295","-79.929075047166","US Census address interpolation"
"84","Harris Teeter — East Bay Trading Station","290 East Bay Street, Charleston SC","Practical","7–11 min","0.37","Groceries","20–45 min","A full grocery option for breakfast supplies, water, snacks and food for your Airbnb.","Walking back with several bags takes longer; buy the heavy items in one planned run or consider delivery.","https://www.harristeeter.com/stores/grocery/sc/charleston","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Harris%20Teeter%20%E2%80%94%20East%20Bay%20Trading%20Station%2C%20290%20East%20Bay%20Street%2C%20Charleston%20SC&travelmode=walking","32.783920840277","-79.928400937544","US Census address interpolation"
"85","Target — King Street","211 King Street, Charleston SC","Practical","5–9 min","0.28","Essentials","15–35 min","Convenient for toiletries, snacks and forgotten basics while already on King Street.","This is a downtown store; selection may differ from a large suburban Target. Check trip-week hours.","https://www.target.com/sl/location/3428","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Target%20%E2%80%94%20King%20Street%2C%20211%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.780505730305","-79.933271349173","US Census address interpolation"
"86","CVS — George Street","59 George Street, Charleston SC","Practical","5–9 min","0.26","Essentials","10–25 min","A very close option for toiletries, over-the-counter basics and pharmacy services.","Retail, pharmacy and clinic hours are different; confirm the service you need directly.","https://www.cvs.com/minuteclinic/clinic-locator/sc/charleston/1039.html","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=CVS%20%E2%80%94%20George%20Street%2C%2059%20George%20Street%2C%20Charleston%20SC&travelmode=walking","32.783577539674","-79.936323025122","US Census address interpolation"
"87","Charleston Visitor Center","375 Meeting Street, Charleston SC","Practical","9–14 min","0.48","Free information","15–30 min","Visitor information and a useful orientation point near several museums and performance venues.","Ask for current walking maps, public-restroom locations and transit information; check daily opening hours.","https://www.charlestoncvb.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Charleston%20Visitor%20Center%2C%20375%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.789121592397","-79.935934423877","US Census address interpolation"
"88","Christophe Chocolate","90 Society Street, Charleston SC","Coffee & treats","1–4 min","0.05","$–$$","15–30 min","Artisan chocolates and sweets just along your own street. One of the easiest stops for a treat or a gift to take home.","Check the downtown shop's current pastry selection and hours; allow careful packing for chocolate gifts.","https://www.christophechocolatechs.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Christophe%20Chocolate%2C%2090%20Society%20Street%2C%20Charleston%20SC&travelmode=walking","32.783340408221","-79.933886320722","US Census address interpolation"
"89","Handy & Hot","68 Wentworth Street, Charleston SC","Coffee & treats","3–7 min","0.17","$–$$","15–35 min","Biscuits, hand pies, coffee and quick bites very close to your Airbnb.","A practical grab-and-go breakfast; check the current morning opening and kitchen closing times.","https://www.handyandhot.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Handy%20%26%20Hot%2C%2068%20Wentworth%20Street%2C%20Charleston%20SC&travelmode=walking","32.782703690693","-79.933540498209","US Census address interpolation"
"90","Peninsula Grill — reopening to confirm","112 North Market Street, Charleston SC","Dining","7–11 min","0.36","$$$$","90–150 min","A fine-dining option near the market, known for its coconut cake. Keep it as a conditional possibility rather than a firm plan.","IMPORTANT: official site currently says temporarily closed for renovation, reopening this fall, with no confirmed date shown. Verify reopening for your dates before planning around it.","https://peninsulagrill.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Peninsula%20Grill%2C%20112%20North%20Market%20Street%2C%20Charleston%20SC&travelmode=walking","32.781009683701","-79.930233323843","US Census address interpolation"
"91","Verde — King Street","347 King Street, Charleston SC","Dining","4–8 min","0.23","$–$$","20–40 min","Fast-casual salads, wraps and bowls near the northern end of your immediate neighborhood.","Useful for a quicker and lighter lunch; check current downtown opening hours and menu.","https://www.eatatverde.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Verde%20%E2%80%94%20King%20Street%2C%20347%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.784774036601","-79.935662104655","US Census address interpolation"
"92","CO — Charleston","340 King Street, Charleston SC","Dining","4–7 min","0.21","$$","45–75 min","Asian-inspired noodles and other casual dishes on King Street, close enough for an uncomplicated meal near home.","Current location page says daily opening at 11am; check the menu and kitchen closing time.","https://www.eatatco.com/location/charleston/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=CO%20%E2%80%94%20Charleston%2C%20340%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.784560211218","-79.935364193551","US Census address interpolation"
"93","South Carolina Historical Society Museum","100 Meeting Street, Charleston SC","Sights & museums","11–16 min","0.55","Ticketed","60–90 min","State history told through objects, documents and interactive exhibits in the historic Fireproof Building beside Washington Square.","Published Tue–Sat 10–4; recommended last admission 3:15. Closed Sunday and Monday, so visit by Oct. 31.","https://schistory.org/museum/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=South%20Carolina%20Historical%20Society%20Museum%2C%20100%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.776923","-79.931052","Published Fireproof Building coordinates; https://en.wikipedia.org/wiki/Fireproof_Building"
"94","Charleston Library Society","164 King Street, Charleston SC","Sights & museums","10–14 min","0.5","Exterior free; programs vary","10–20 min exterior; program varies","A historic private library on lower King, worth noticing while visiting Buxton Books and nearby shops.","Routine access is for members. The public can attend designated events with RSVP; do not plan on a walk-in reading-room visit.","https://charlestonlibrarysociety.org/accessibility/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Charleston%20Library%20Society%2C%20164%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.778282344792","-79.932884116661","US Census address interpolation"
"95","Mercantile & Mash","701 East Bay Street, Charleston SC","Coffee & treats","23–30 min","1.15","$–$$","30–60 min","A café and food stop in the Cigar Factory, with a separate bar component. A longer northeastern outing beyond the main visitor core.","Mercantile closes 5:30 weekdays, 4 Saturday, 3 Sunday. Bar Mash has separate hours and is closed Sunday.","https://www.mercandmash.com/location/mercantile-and-mash/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Mercantile%20%26%20Mash%2C%20701%20East%20Bay%20Street%2C%20Charleston%20SC&travelmode=walking","32.797175807012","-79.933784604745","US Census address interpolation"
"96","The Grocery","4 Cannon Street, Charleston SC","Dining","16–22 min","0.82","$$$","75–120 min","Seasonal cooking with an emphasis on local produce, seafood and meat; a dinner destination just off Upper King.","Reserve dinner and confirm the current operating days.","https://guide.charlestonmag.com/dining/the-grocery/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Grocery%2C%204%20Cannon%20Street%2C%20Charleston%20SC&travelmode=walking","32.792060186406","-79.940828777986","US Census address interpolation"
"97","Church and Union Charleston","32B North Market Street, Charleston SC","Dining","10–14 min","0.5","$$–$$$","75–120 min","Your requested addition: Modern American dining in a converted historic church, with a dramatic interior. Convenient for brunch, lunch or dinner around the City Market. The restaurant's full address is 32B North Market Street.","Reserve through the Charleston page's OpenTable link. Published dinner daily from 5; lunch Mon–Thu 10–3:30; brunch Fri–Sun 9–3:30; midday menu daily 3:30–5. For 12 or more, use the venue's group inquiry process. Phone: 843-937-8666.","https://www.churchandunion.com/location/charleston/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Church%20and%20Union%20Charleston%2C%2032B%20North%20Market%20Street%2C%20Charleston%20SC&travelmode=walking","32.781216225532","-79.927772196387","US Census address interpolation"
